id,ux,uy,uz,magnitude
106032,0.2628452048,-0.2041391479,0.9429950194,3.230000
79882,-0.4277975558,-0.9001652031,-0.0818037794,3.230000
99473,0.5420398799,-0.8402304724,-0.0143360334,3.240000
32607,-0.0981770286,0.4600389797,-0.8824541961,3.240000
93194,0.2140752450,-0.8139273345,0.5400871074,3.250000
36377,-0.2762402607,0.6733056922,-0.6858212327,3.250000
68895,-0.7610757332,-0.4680925752,-0.4490579800,3.250000
73714,-0.6279268357,-0.6506246711,-0.4270777754,3.250000
17678,0.1486956216,0.2273255849,-0.9623994444,3.260000
3092,0.8458087896,0.1465958649,0.5129494555,3.270000
84970,-0.1495476463,-0.8938866642,-0.4226134559,3.270000
113136,0.9232680662,-0.2706428880,-0.2726325459,3.270000
24305,0.1958255951,0.9400873293,-0.2790844846,3.290000
75458,-0.3228153842,-0.4019649581,0.8568631164,3.290000
50099,-0.3053531175,0.1526857148,-0.9399183720,3.290000
51576,-0.4397951427,0.1776362664,-0.8803553767,3.300000
21281,0.2099837586,0.5330672227,-0.8196012184,3.300000
29655,-0.0599224422,0.9218891373,0.3827920054,3.310000
59774,-0.5429278188,-0.0366106537,0.8389809554,3.320000
88048,-0.0041869215,-0.9854750338,-0.1697687471,3.320000
14354,0.5381788126,0.5630774371,0.6271422211,3.320000
5165,0.6572850687,0.1949509795,-0.7279906964,3.320000
84143,-0.1509801994,-0.7126609155,-0.6850689008,3.320000
93864,0.2550056778,-0.8481130646,-0.4644096618,3.320000
54879,-0.9448082851,0.1911996437,0.2660451101,3.330000
19780,0.2054429570,0.4139847545,-0.8867975048,3.330000
38170,-0.4164817722,0.8061063757,-0.4203991491,3.340000
41704,-0.2981909557,0.3877073623,0.8722185249,3.350000
8886,0.3894237676,0.2123147074,0.8962542018,3.350000
25281,0.1542436354,0.9871471349,-0.0418262472,3.350000
32362,-0.1913653598,0.9558145371,0.2231543630,3.350000
95501,0.3639513257,-0.9298311791,0.0543452934,3.360000
75264,-0.4505734696,-0.5499075595,-0.7032675341,3.370000
43109,-0.6609608693,0.7420468762,0.1117907098,3.380000
66249,-0.9158128459,-0.4014708060,-0.0103934222,3.380000
26207,0.1066452933,0.9792165005,0.1725161632,3.390000
109492,0.4683032281,-0.2415663504,0.8499045740,3.390000
50371,-0.4321657150,0.2082622723,-0.8774164466,3.390000
63090,-0.9690197658,-0.2397694102,0.0592564212,3.390000
20894,0.3732652718,0.8865035262,0.2734676120,3.400000
112029,0.9250788108,-0.3300243836,0.1879178015,3.410000
74395,-0.4104814205,-0.4570080918,-0.7890808624,3.410000
18724,0.4856553175,0.8469737574,0.2162738235,3.410000
67464,-0.6631464652,-0.3433892009,-0.6650718926,3.410000
102422,0.3115832540,-0.3543736093,0.8816661618,3.410000
6867,0.6741273501,0.2736141770,-0.6860667592,3.410000
8796,0.7659544912,0.4119160777,0.4935978752,3.420000
78384,-0.3915036245,-0.6789354834,-0.6211050807,3.420000
102395,0.2659839009,-0.3034152835,-0.9149818196,3.420000
86974,-0.0523077788,-0.8837180075,0.4650874967,3.420000
93805,0.2840200372,-0.9550322476,-0.0851235841,3.430000
50335,-0.8259736212,0.3997767076,0.3974244093,3.430000
50372,-0.6597750044,0.3179162510,0.6809010214,3.450000
38827,-0.2936700427,0.5255825477,-0.7984490538,3.460000
5364,0.9404898636,0.2902107066,-0.1767952551,3.460000
74666,-0.5496101293,-0.6295048248,0.5492288969,3.460000
12706,0.7555129509,0.6526989295,0.0564294992,3.470000
49583,-0.8441162488,0.4519830403,0.2884078533,3.480000
81833,-0.2568303892,-0.7343910163,0.6282578980,3.480000
73555,-0.5339766567,-0.5431162763,0.6479920065,3.490000
90422,0.0816131136,-0.6902418383,-0.7189614068,3.490000
55219,-0.8240594709,0.1509527589,0.5460212936,3.490000
8102,0.8642286091,0.4216164878,-0.2744967185,3.490000
33856,-0.2350559547,0.8516383145,-0.4684665191,3.490000
112623,0.5948868424,-0.1916863138,-0.7806189864,3.490000
112724,0.3847019720,-0.1218941033,0.9149569500,3.500000
32759,-0.1819539157,0.8234489596,-0.5374240258,3.500000
35550,-0.3176206907,0.8712071401,0.3743196707,3.500000
98337,0.4669151143,-0.8189309481,0.3336800538,3.510000
112748,0.8671534743,-0.2733824395,0.4163014458,3.510000
48774,-0.4980530388,0.2967173086,-0.8148018221,3.520000
93085,0.2325218367,-0.9034693979,-0.3601064323,3.520000
47508,-0.8097911401,0.5610040679,0.1717927388,3.520000
92420,0.1810561843,-0.8153458033,0.5499362501,3.520000
109427,0.8822401467,-0.4582528946,0.1079657733,3.520000
17378,0.5537867192,0.8152242541,-0.1694983338,3.520000
